,messages,user,message_Date,hour,minute,second,day,month,year
36,🤣 🤣 🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:26:34,23,26,34,Saturday,April,2020
37,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:26:36,23,26,36,Saturday,April,2020
38,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:26:38,23,26,38,Saturday,April,2020
39,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:26:40,23,26,40,Saturday,April,2020
40,🤣 🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:26:41,23,26,41,Saturday,April,2020
41,🤣 🤣 🤣 🤣‎,Rohit 💃,2020-04-18 23:26:42,23,26,42,Saturday,April,2020
42,‎sticker omitted‎,Vinayak 👩,2020-04-18 23:26:50,23,26,50,Saturday,April,2020
43,‎sticker omitted,Vinayak 👩,2020-04-18 23:26:54,23,26,54,Saturday,April,2020
44,🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:27:05,23,27,5,Saturday,April,2020
45,🤣 🤣 🤣 🤣,Rohit 💃,2020-04-18 23:27:07,23,27,7,Saturday,April,2020
46,✌👌🏿👌🏿‎,Rohit 💃,2020-04-18 23:27:18,23,27,18,Saturday,April,2020
47,‎sticker omitted,Vinayak 👩,2020-04-18 23:27:57,23,27,57,Saturday,April,2020
48,Le sann chutya makka hog,Rohit 💃,2020-04-18 23:28:22,23,28,22,Saturday,April,2020
49,Hsm,Rohit 💃,2020-04-18 23:28:23,23,28,23,Saturday,April,2020
50,🤣🤣🤣,Rohit 💃,2020-04-18 23:28:29,23,28,29,Saturday,April,2020
51,Ha malum he Tere bap ko math sika chal hat bevda sala,Vinayak 👩,2020-04-18 23:29:19,23,29,19,Saturday,April,2020
52,Wch gaali is combination of bsdk and nim avvn hadda,Abhishek 🐂,2020-04-19 10:43:27,10,43,27,Sunday,April,2020
53,Nin bosda na hadda👆,Abhishek 🐂,2020-04-19 10:47:34,10,47,34,Sunday,April,2020
54,🤣,Rohit 💃,2020-04-19 10:47:48,10,47,48,Sunday,April,2020
55,😁😁,Abhishek 🐂,2020-04-19 10:47:57,10,47,57,Sunday,April,2020
56,Sann chutya lee‎,Rohit 💃,2020-04-19 10:48:11,10,48,11,Sunday,April,2020
57,‎sticker omitted,Vinayak 👩,2020-04-19 10:48:11,10,48,11,Sunday,April,2020
58,Elle hogyana,Rohit 💃,2020-04-19 10:48:17,10,48,17,Sunday,April,2020
59,Nim appa,Vinayak 👩,2020-04-19 10:48:18,10,48,18,Sunday,April,2020
60,Nim manyaga adana,Vinayak 👩,2020-04-19 10:48:27,10,48,27,Sunday,April,2020
61,Appa agala le avva avng nunnu ella‎,Abhishek 🐂,2020-04-19 10:49:13,10,49,13,Sunday,April,2020
62,‎sticker omitted,Vinayak 👩,2020-04-19 10:49:53,10,49,53,Sunday,April,2020
63,Sann chutya andr andr ava yak hi anatana,Rohit 💃,2020-04-19 10:50:00,10,50,0,Sunday,April,2020
64,Hsmaklu,Rohit 💃,2020-04-19 10:50:03,10,50,3,Sunday,April,2020
65,🤣,Rohit 💃,2020-04-19 10:50:06,10,50,6,Sunday,April,2020
66,Chutya ning heled na,Abhishek 🐂,2020-04-19 10:50:24,10,50,24,Sunday,April,2020
67,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-19 10:50:34,10,50,34,Sunday,April,2020
68,Point,Rohit 💃,2020-04-19 10:50:36,10,50,36,Sunday,April,2020
69,Hatra nimga,Vinayak 👩,2020-04-19 10:50:44,10,50,44,Sunday,April,2020
70,Kehoo,Rohit 💃,2020-04-19 10:50:51,10,50,51,Sunday,April,2020
71,Sann chutyag hasaya att,Rohit 💃,2020-04-19 10:50:59,10,50,59,Sunday,April,2020
72,🤣‎,Rohit 💃,2020-04-19 10:51:00,10,51,0,Sunday,April,2020
73,‎sticker omitted,Vinayak 👩,2020-04-19 10:51:05,10,51,5,Sunday,April,2020
74,Nim appa enn evva,Abhishek 🐂,2020-04-19 10:51:20,10,51,20,Sunday,April,2020
75,🤣 🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-19 10:51:26,10,51,26,Sunday,April,2020
76,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 88,Rohit 💃,2020-04-19 10:51:29,10,51,29,Sunday,April,2020
77,Nan makal munda alla nadithathu,Vinayak 👩,2020-04-19 10:51:31,10,51,31,Sunday,April,2020
78,🤣 🤣 🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-19 10:51:31,10,51,31,Sunday,April,2020
79,Nadithathi*,Vinayak 👩,2020-04-19 10:51:37,10,51,37,Sunday,April,2020
80,Nim appa ava,Vinayak 👩,2020-04-19 10:51:49,10,51,49,Sunday,April,2020
81,🤣,Rohit 💃,2020-04-19 10:51:54,10,51,54,Sunday,April,2020
82,🤣‎,Rohit 💃,2020-04-19 10:51:57,10,51,57,Sunday,April,2020
83,‎sticker omitted,Rohit 💃,2020-04-19 10:52:15,10,52,15,Sunday,April,2020
84,Nodle rohit avng baibeda avr appa karkond barthana‎,Abhishek 🐂,2020-04-19 10:52:22,10,52,22,Sunday,April,2020
85,‎sticker omitted,Vinayak 👩,2020-04-19 10:52:24,10,52,24,Sunday,April,2020
86,Hu le pa yappa hedriki att nang,Rohit 💃,2020-04-19 10:52:51,10,52,51,Sunday,April,2020
87,🤣,Rohit 💃,2020-04-19 10:52:53,10,52,53,Sunday,April,2020
88,🤣,Rohit 💃,2020-04-19 10:53:10,10,53,10,Sunday,April,2020
89,‎This message was deleted.‎,Vinayak 👩,2020-04-19 11:07:42,11,7,42,Sunday,April,2020
90,‎sticker omitted‎,Vinayak 👩,2020-04-19 11:08:13,11,8,13,Sunday,April,2020
91,‎sticker omitted,Vinayak 👩,2020-04-19 11:08:18,11,8,18,Sunday,April,2020
92,Bai moch le belege belege madang ansalla🖕‎,Abhishek 🐂,2020-04-19 11:09:24,11,9,24,Sunday,April,2020
93,‎sticker omitted,Vinayak 👩,2020-04-19 11:09:51,11,9,51,Sunday,April,2020
94,Tere muu me mera lund,Abhishek 🐂,2020-04-19 11:10:29,11,10,29,Sunday,April,2020
95,Brame‎,Vinayak 👩,2020-04-19 11:10:46,11,10,46,Sunday,April,2020
96,‎sticker omitted,Abhishek 🐂,2020-04-19 11:11:53,11,11,53,Sunday,April,2020
97,‎This message was deleted.‎,Abhishek 🐂,2020-04-19 11:12:01,11,12,1,Sunday,April,2020
98,‎sticker omitted‎,Vinayak 👩,2020-04-19 11:18:09,11,18,9,Sunday,April,2020
99,‎sticker omitted‎,Abhishek 🐂,2020-04-19 11:20:00,11,20,0,Sunday,April,2020
100,‎sticker omitted‎,Vinayak 👩,2020-04-19 11:20:57,11,20,57,Sunday,April,2020
101,‎sticker omitted,Abhishek 🐂,2020-04-19 11:21:20,11,21,20,Sunday,April,2020
102,🤣 🤣 🤣 🤣 🤣 🤣,Rohit 💃,2020-04-19 12:10:03,12,10,3,Sunday,April,2020
103,Nam gani Bcom Passe film nodroo,Sharat 🔞,2020-04-19 13:27:26,13,27,26,Sunday,April,2020
104,super ayti...,Sharat 🔞,2020-04-19 13:27:31,13,27,31,Sunday,April,2020
105,,Sharat 🔞,2020-04-19 13:29:50,13,29,50,Sunday,April,2020
106,telegram oalag kalseni,Sharat 🔞,2020-04-19 13:38:19,13,38,19,Sunday,April,2020
107,👍‎,Abhishek 🐂,2020-04-19 13:56:05,13,56,5,Sunday,April,2020
108,‎video omitted‎,Abhishek 🐂,2020-04-19 16:27:08,16,27,8,Sunday,April,2020
109,‎image omitted‎,Sharat 🔞,2020-04-19 19:28:14,19,28,14,Sunday,April,2020
110,‎image omitted,Sharat 🔞,2020-04-19 19:28:14,19,28,14,Sunday,April,2020
111,"18/04/2020, ರಾತ್ರಿ 11 ಘಂಟೆಗೆ ಹುಬ್ಬಳ್ಳಿ ಚನ್ನಮ್ಮ ಸರಕಲ್ ಬಳಿ ಕಂಡು ಬಂದ ದೃಶ್ಯಾ 😰😥 ದಯಮಾಡಿ ಮನೆಯಲ್ಲಿಯೇ ಇರಿ ನೀವು ಬದುಕಿ ಬೇರೆ ಯವರನ್ನು ಬದುಕಿಸಿ 👏🏻👏🏻👏🏻",Sharat 🔞,2020-04-20 21:47:56,21,47,56,Monday,April,2020
112,Corona alla le adu,Rohit 💃,2020-04-20 21:49:00,21,49,0,Monday,April,2020
113,erbod....leDharwad 6 case eddid 7 anta torsakattara,Sharat 🔞,2020-04-20 21:49:58,21,49,58,Monday,April,2020
114,ದೇಶವೇ seal down ಆಗಿರುವಾಗ ನಿಖಿಲ್ seal open ಮಾಡಿದ್ದು ಎಷ್ಟರ ಮಟ್ಟಿಗೆ ಸರಿ ಎನ್ನುವುದೇ ದೇಶದ  ಕೋಟ್ಯಂತರ ಜನರ ಪ್ರಶ್ನೆ 🤣🤣🤣🤣🤣,Sharat 🔞,2020-04-21 08:33:15,8,33,15,Tuesday,April,2020
115,Muchha ennu seal ayth anth ning heng goth,Abhishek 🐂,2020-04-21 09:10:35,9,10,35,Tuesday,April,2020
116,forwarded,Sharat 🔞,2020-04-21 09:22:16,9,22,16,Tuesday,April,2020
117,😂😂🔥,Roshan 🍗,2020-04-21 10:23:49,10,23,49,Tuesday,April,2020
118,🤣‎,Abhishek 🐂,2020-04-21 11:44:38,11,44,38,Tuesday,April,2020
119,‎video omitted,Sharat 🔞,2020-04-22 10:49:13,10,49,13,Wednesday,April,2020
120,😶‎,Abhishek 🐂,2020-04-22 10:53:43,10,53,43,Wednesday,April,2020
121,‎video omitted,Sharat 🔞,2020-04-22 11:01:20,11,1,20,Wednesday,April,2020
122,😂😂😂🤣🤣🤣,Vinayak 👩,2020-04-27 08:48:21,8,48,21,Monday,April,2020
123,,Sharat 🔞,2020-04-27 10:29:50,10,29,50,Monday,April,2020
124,,Sharat 🔞,2020-04-29 11:22:09,11,22,9,Wednesday,April,2020
125,‎image omitted,Rohit 💃,2020-04-29 15:33:45,15,33,45,Wednesday,April,2020
126,That smile 🙂🙃,Rohit 💃,2020-04-29 15:33:58,15,33,58,Wednesday,April,2020
127,N red eyes 😍,Rohit 💃,2020-04-29 15:34:07,15,34,7,Wednesday,April,2020
128,Tq u my son proud to be ur father🙈❣‎,Vinayak 👩,2020-04-29 16:07:24,16,7,24,Wednesday,April,2020
129,‎sticker omitted‎,Rohit 💃,2020-05-04 12:38:36,12,38,36,Monday,May,2020
130,‎sticker omitted‎,Rohit 💃,2020-05-06 19:58:45,19,58,45,Wednesday,May,2020
131,‎sticker omitted‎,Rohit 💃,2020-05-06 19:58:50,19,58,50,Wednesday,May,2020
132,‎sticker omitted‎,Rohit 💃,2020-05-06 19:59:15,19,59,15,Wednesday,May,2020
133,‎sticker omitted,Rohit 💃,2020-05-06 19:59:19,19,59,19,Wednesday,May,2020
134,Anyone,Rohit 💃,2020-05-08 18:54:10,18,54,10,Friday,May,2020
135,Ludo.....?‎,Rohit 💃,2020-05-08 18:54:13,18,54,13,Friday,May,2020
136,‎sticker omitted,Vinayak 👩,2020-05-08 18:54:40,18,54,40,Friday,May,2020
137,Le mere lawda es se kel bsdk‎,Vinayak 👩,2020-05-08 18:55:03,18,55,3,Friday,May,2020
138,‎sticker omitted‎,Rohit 💃,2020-05-08 18:56:05,18,56,5,Friday,May,2020
139,‎sticker omitted‎,Vinayak 👩,2020-05-08 18:56:42,18,56,42,Friday,May,2020
140,‎sticker omitted‎,Sharat 🔞,2020-05-08 18:57:20,18,57,20,Friday,May,2020
141,‎sticker omitted‎,Rohit 💃,2020-05-08 19:00:39,19,0,39,Friday,May,2020
142,‎sticker omitted‎,Vinayak 👩,2020-05-08 19:41:19,19,41,19,Friday,May,2020
143,‎sticker omitted‎,Rohit 💃,2020-05-08 19:42:22,19,42,22,Friday,May,2020
144,‎sticker omitted‎,Sharat 🔞,2020-05-08 19:45:12,19,45,12,Friday,May,2020
145,‎sticker omitted,Rohit 💃,2020-05-08 19:45:40,19,45,40,Friday,May,2020
146,Edd enn le 😅‎,Abhishek 🐂,2020-05-08 19:51:03,19,51,3,Friday,May,2020
147,‎sticker omitted‎,Abhishek 🐂,2020-05-08 19:52:16,19,52,16,Friday,May,2020
148,‎sticker omitted‎,Roshan 🍗,2020-05-08 19:59:04,19,59,4,Friday,May,2020
149,‎sticker omitted‎,Rohit 💃,2020-05-08 22:51:09,22,51,9,Friday,May,2020
150,‎sticker omitted,Abhishek 🐂,2020-05-08 22:51:39,22,51,39,Friday,May,2020
151,Esta‎,Abhishek 🐂,2020-05-08 22:51:42,22,51,42,Friday,May,2020
152,‎sticker omitted‎,Rohit 💃,2020-05-08 22:52:22,22,52,22,Friday,May,2020
153,‎sticker omitted‎,Rohit 💃,2020-05-08 22:52:24,22,52,24,Friday,May,2020
154,‎video omitted‎,Sharat 🔞,2020-05-09 08:21:02,8,21,2,Saturday,May,2020
155,‎sticker omitted,Rohit 💃,2020-05-09 09:26:12,9,26,12,Saturday,May,2020
156,Anyone ludo‎,Rohit 💃,2020-05-09 19:16:52,19,16,52,Saturday,May,2020
157,‎sticker omitted‎,Rohit 💃,2020-05-09 19:16:56,19,16,56,Saturday,May,2020
158,‎sticker omitted,Vinayak 👩,2020-05-09 19:18:30,19,18,30,Saturday,May,2020
159,🙋🏻‍♂️,Abhishek 🐂,2020-05-09 19:18:57,19,18,57,Saturday,May,2020
160,Ok i wll share code,Rohit 💃,2020-05-09 19:19:09,19,19,9,Saturday,May,2020
161,One min,Rohit 💃,2020-05-09 19:19:12,19,19,12,Saturday,May,2020
162,Bsdk 30 sec,Abhishek 🐂,2020-05-09 19:19:22,19,19,22,Saturday,May,2020
163,Okok i said wait,Rohit 💃,2020-05-09 19:19:36,19,19,36,Saturday,May,2020
164,One m8nd,Rohit 💃,2020-05-09 19:19:42,19,19,42,Saturday,May,2020
165,Vinya adan baa le,Abhishek 🐂,2020-05-09 19:22:11,19,22,11,Saturday,May,2020
166,Sry,Vinayak 👩,2020-05-09 19:22:44,19,22,44,Saturday,May,2020
167,Fuck off‎,Abhishek 🐂,2020-05-09 19:22:53,19,22,53,Saturday,May,2020
168,‎image omitted,Rohit 💃,2020-05-09 19:22:53,19,22,53,Saturday,May,2020
169,Andr hattr ning andang,Rohit 💃,2020-05-09 19:23:09,19,23,9,Saturday,May,2020
170,🤣,Rohit 💃,2020-05-09 19:23:12,19,23,12,Saturday,May,2020
171,Vinya,Rohit 💃,2020-05-09 19:23:17,19,23,17,Saturday,May,2020
172,Arey mere lowde ke bache apna kam karna bsdk,Vinayak 👩,2020-05-09 19:24:33,19,24,33,Saturday,May,2020
173,tumbadd film nodri le.. heavy ayti,Sharat 🔞,2020-05-09 20:21:34,20,21,34,Saturday,May,2020
174,Nodi agide,Rohit 💃,2020-05-09 20:39:31,20,39,31,Saturday,May,2020
175,thappad cholo ayti‎,Sharat 🔞,2020-05-09 20:39:48,20,39,48,Saturday,May,2020
176,‎sticker omitted,Rohit 💃,2020-05-09 20:39:48,20,39,48,Saturday,May,2020
177,Average,Rohit 💃,2020-05-09 20:39:56,20,39,56,Saturday,May,2020
178,nodilla na...,Sharat 🔞,2020-05-09 20:40:17,20,40,17,Saturday,May,2020
179,question mark miss aath,Sharat 🔞,2020-05-09 20:40:24,20,40,24,Saturday,May,2020
180,!?*,Sharat 🔞,2020-05-09 20:40:27,20,40,27,Saturday,May,2020
181,Hu ade average,Rohit 💃,2020-05-09 20:41:09,20,41,9,Saturday,May,2020
182,Ide,Rohit 💃,2020-05-09 20:41:10,20,41,10,Saturday,May,2020
183,Nerve nod,Rohit 💃,2020-05-09 20:41:26,20,41,26,Saturday,May,2020
184,done👍Entor bek namga,Sharat 🔞,2020-05-09 20:42:28,20,42,28,Saturday,May,2020
185,Nangu hantor bek ellu sigvallr 😂,Rohit 💃,2020-05-09 20:44:01,20,44,1,Saturday,May,2020
186,Lang yaad le,Abhishek 🐂,2020-05-09 20:44:36,20,44,36,Saturday,May,2020
187,English,Rohit 💃,2020-05-09 20:44:42,20,44,42,Saturday,May,2020
188,Link kals,Abhishek 🐂,2020-05-09 20:44:53,20,44,53,Saturday,May,2020
189,Huu,Rohit 💃,2020-05-09 20:44:58,20,44,58,Saturday,May,2020
190,,Rohit 💃,2020-05-09 20:45:27,20,45,27,Saturday,May,2020
191,Creepy movie helrii le avn avvan thali haap agbek hanthav,Abhishek 🐂,2020-05-09 20:45:44,20,45,44,Saturday,May,2020
192,Unbroken,Rohit 💃,2020-05-09 20:45:58,20,45,58,Saturday,May,2020
193,Nod tru story,Rohit 💃,2020-05-09 20:46:03,20,46,3,Saturday,May,2020
194,Ivat nodde,Rohit 💃,2020-05-09 20:46:07,20,46,7,Saturday,May,2020
195,✌,Abhishek 🐂,2020-05-09 20:46:08,20,46,8,Saturday,May,2020
196,Pscy,Rohit 💃,2020-05-09 20:46:13,20,46,13,Saturday,May,2020
197,Fucking hard aiti,Rohit 💃,2020-05-09 20:46:20,20,46,20,Saturday,May,2020
198,2014‎,Rohit 💃,2020-05-09 20:46:40,20,46,40,Saturday,May,2020
199,‎sticker omitted‎,Abhishek 🐂,2020-05-09 20:47:03,20,47,3,Saturday,May,2020
200,‎sticker omitted,Rohit 💃,2020-05-09 20:47:20,20,47,20,Saturday,May,2020
201,‎This message was deleted.,Rohit 💃,2020-05-11 20:04:06,20,4,6,Monday,May,2020
202,😂,Sharat 🔞,2020-05-11 20:21:43,20,21,43,Monday,May,2020
203,I agree antha kottu submit madu.... Exm cancel aagoke Jasthi vote beku... Bere degree students gu forward madu nin contact alli,Sharat 🔞,2020-05-13 22:10:40,22,10,40,Wednesday,May,2020
204,pls frward and submit,Sharat 🔞,2020-05-13 22:10:40,22,10,40,Wednesday,May,2020
205,‎sticker omitted‎,Rohit 💃,2020-05-15 19:45:35,19,45,35,Friday,May,2020
206,‎sticker omitted‎,Rohit 💃,2020-05-15 19:45:36,19,45,36,Friday,May,2020
207,‎sticker omitted‎,Rohit 💃,2020-05-15 19:45:37,19,45,37,Friday,May,2020
208,‎sticker omitted‎,Rohit 💃,2020-05-15 19:45:43,19,45,43,Friday,May,2020
209,‎image omitted,Rohit 💃,2020-05-17 18:10:39,18,10,39,Sunday,May,2020
210,Undisputed 2 3 4 benki film 🔥🔥🔥🔥,Rohit 💃,2020-05-17 20:59:02,20,59,2,Sunday,May,2020
211,,Rohit 💃,2020-05-19 19:51:09,19,51,9,Tuesday,May,2020
212,Like...!‎,Rohit 💃,2020-05-19 19:51:24,19,51,24,Tuesday,May,2020
213,‎image omitted‎,Roshan 🍗,2020-05-27 14:44:09,14,44,9,Wednesday,May,2020
214,‎sticker omitted‎,Rohit 💃,2020-05-27 14:56:51,14,56,51,Wednesday,May,2020
215,‎sticker omitted‎,Roshan 🍗,2020-05-27 15:08:30,15,8,30,Wednesday,May,2020
216,‎sticker omitted‎,Rohit 💃,2020-05-27 15:59:18,15,59,18,Wednesday,May,2020
217,‎sticker omitted‎,Roshan 🍗,2020-05-27 17:03:08,17,3,8,Wednesday,May,2020
218,‎sticker omitted‎,Vinayak 👩,2020-05-27 17:04:09,17,4,9,Wednesday,May,2020
219,‎sticker omitted‎,Roshan 🍗,2020-05-27 17:04:50,17,4,50,Wednesday,May,2020
220,‎sticker omitted‎,Vinayak 👩,2020-05-27 17:05:18,17,5,18,Wednesday,May,2020
221,‎sticker omitted‎,Roshan 🍗,2020-05-27 17:06:00,17,6,0,Wednesday,May,2020
222,‎sticker omitted‎,Vinayak 👩,2020-05-27 17:06:58,17,6,58,Wednesday,May,2020
223,‎sticker omitted‎,Roshan 🍗,2020-05-27 18:15:48,18,15,48,Wednesday,May,2020
224,‎sticker omitted‎,Vinayak 👩,2020-05-27 18:25:41,18,25,41,Wednesday,May,2020
225,‎sticker omitted‎,Roshan 🍗,2020-05-27 18:41:27,18,41,27,Wednesday,May,2020
226,‎sticker omitted‎,Vinayak 👩,2020-05-27 19:26:08,19,26,8,Wednesday,May,2020
227,‎sticker omitted‎,Rohit 💃,2020-05-27 19:28:57,19,28,57,Wednesday,May,2020
228,‎sticker omitted‎,Vinayak 👩,2020-05-27 19:30:04,19,30,4,Wednesday,May,2020
229,‎sticker omitted‎,Rohit 💃,2020-05-27 19:30:50,19,30,50,Wednesday,May,2020
230,‎sticker omitted‎,Rohit 💃,2020-05-27 19:30:52,19,30,52,Wednesday,May,2020
231,‎sticker omitted‎,Rohit 💃,2020-05-27 19:30:56,19,30,56,Wednesday,May,2020
232,‎sticker omitted‎,Rohit 💃,2020-05-27 19:31:04,19,31,4,Wednesday,May,2020
233,‎sticker omitted‎,Rohit 💃,2020-05-27 19:31:07,19,31,7,Wednesday,May,2020
234,‎sticker omitted‎,Rohit 💃,2020-05-27 19:31:10,19,31,10,Wednesday,May,2020
235,‎sticker omitted,Rohit 💃,2020-05-27 19:31:20,19,31,20,Wednesday,May,2020
236,Mindrike horag ba,Vinayak 👩,2020-05-27 19:32:20,19,32,20,Wednesday,May,2020
237,,Abhishek 🐂,2020-05-29 18:30:12,18,30,12,Friday,May,2020
238,Healing power of boobs🤣🤣‎,Abhishek 🐂,2020-05-29 18:30:24,18,30,24,Friday,May,2020
239,‎image omitted,Abhishek 🐂,2020-05-30 23:42:26,23,42,26,Saturday,May,2020
240,"Ku ki duniya mc hai,mc tha, mc rahegi‎",Abhishek 🐂,2020-05-30 23:43:03,23,43,3,Saturday,May,2020
241,‎sticker omitted,Vinayak 👩,2020-05-30 23:44:37,23,44,37,Saturday,May,2020
242,Kisko bola re‎,Abhishek 🐂,2020-05-30 23:44:59,23,44,59,Saturday,May,2020
243,‎sticker omitted‎,Vinayak 👩,2020-05-30 23:45:53,23,45,53,Saturday,May,2020
244,‎sticker omitted‎,Abhishek 🐂,2020-05-30 23:46:02,23,46,2,Saturday,May,2020
245,‎image omitted‎,Abhishek 🐂,2020-05-30 23:46:40,23,46,40,Saturday,May,2020
246,‎sticker omitted‎,Vinayak 👩,2020-05-30 23:48:20,23,48,20,Saturday,May,2020
247,‎sticker omitted‎,Vinayak 👩,2020-05-30 23:48:38,23,48,38,Saturday,May,2020
248,‎sticker omitted‎,Abhishek 🐂,2020-05-30 23:50:13,23,50,13,Saturday,May,2020
249,‎sticker omitted‎,Vinayak 👩,2020-05-30 23:51:09,23,51,9,Saturday,May,2020
250,‎sticker omitted,Abhishek 🐂,2020-05-30 23:51:18,23,51,18,Saturday,May,2020
251,Ee le kaat bsdk‎,Abhishek 🐂,2020-05-30 23:51:26,23,51,26,Saturday,May,2020
252,‎sticker omitted,Vinayak 👩,2020-05-30 23:51:43,23,51,43,Saturday,May,2020
253,Thereko aisa cutter nai milega‎,Abhishek 🐂,2020-05-30 23:51:46,23,51,46,Saturday,May,2020
254,‎sticker omitted‎,Abhishek 🐂,2020-05-30 23:52:02,23,52,2,Saturday,May,2020
255,‎sticker omitted‎,Abhishek 🐂,2020-05-30 23:52:06,23,52,6,Saturday,May,2020
256,‎sticker omitted‎,Abhishek 🐂,2020-05-30 23:52:07,23,52,7,Saturday,May,2020
257,‎sticker omitted‎,Vinayak 👩,2020-05-30 23:52:26,23,52,26,Saturday,May,2020
258,‎sticker omitted‎,Abhishek 🐂,2020-05-30 23:52:41,23,52,41,Saturday,May,2020
259,‎sticker omitted‎,Abhishek 🐂,2020-05-30 23:52:48,23,52,48,Saturday,May,2020
260,‎sticker omitted‎,Vinayak 👩,2020-05-30 23:53:17,23,53,17,Saturday,May,2020
261,‎sticker omitted‎,Vinayak 👩,2020-05-30 23:53:26,23,53,26,Saturday,May,2020
